ID,name,population,latitude,longitude
262,Reblino,324,54.4338600,16.9038400
263,Rarwino,213,53.9526578,15.7945434
264,Radusz,239,54.2505581,17.2210873
265,Radomyśl,150,53.7591500,16.5276400
266,Rąbino,1100,53.8688563,15.9506588
267,Rąbinko,160,53.8801700,15.9358400
268,Pustowo,190,54.1671000,16.8210600
269,Pustkowo,165,54.0657300,16.0262000
270,Pustkowo,123,54.0683500,14.9725600
271,Pustary,310,54.0963531,15.6514289
272,Przytocko,402,54.1202400,16.8339700
273,Przybrda,400,53.8290200,16.8399400
274,Przyborze,40,53.6797694,15.5762126
275,Przybkówko,50,53.7069200,16.3406600
276,Przybiernowo,326,53.9415500,15.2989700
277,Przybiernówko,449,53.9519962,15.1322632
278,Przewłoka,180,54.5795786,16.9036899
279,Przechlewo,2826,53.7995842,17.2550402
280,Przechlewko,81,53.8522700,17.2556200
281,Powidz,114,54.1845862,16.4846545
282,Postomino,625,54.4923600,16.7137200
283,Porzecze,180,54.3816400,16.4018600
284,Porost,360,53.9276788,16.6540339
285,Pomianowo,391,54.0362068,16.0571939
286,Polanów,3028,54.1192100,16.6872500
287,Pogorzelica,104,54.1018859,15.1211857
288,Podwilczyn,196,54.2939200,17.1599600
289,Podwilcze,232,53.9334969,15.8266987
290,Podgórki,220,54.2740500,16.6350600
291,Poddąbie,39,54.6235763,16.9862769
292,Poborowo,179,54.2072300,17.1618500
293,Pobłocie Wielkie,279,54.0467768,15.7591169
294,Pobierowo,2054,54.0570808,14.9332546
295,Pobądz,96,53.9935923,16.3065005
296,Płocko,240,54.1468000,16.8313600
297,Pleśna,30,54.2338347,15.8365082
298,Pławęcino,167,54.0359678,15.6102507
299,Płaszewko,103,54.4272900,17.0725198
300,Pietrzykowo,151,53.9880600,17.1541200
301,Pieńkowo,700,54.4833900,16.6872500
302,Pieniężnica,392,53.8577300,16.9607900
303,Piaszczyna,459,54.0222608,17.1707782
304,Pęplino,371,54.5274637,16.8683362
305,Pęciszewko,116,54.3694500,16.4013900
306,Pękanino,340,54.2706100,16.4253800
307,Parchlino,130,53.7193649,16.2976143
308,Paproty,140,54.2954200,16.5679800
309,Paprotno,243,53.9930259,15.0625347
310,Pałówko,247,54.4374700,16.8255600
311,Palczewice,113,54.4714028,16.4697122
312,Pakotulsko,188,53.7991000,17.1989700
313,Ostrowiec,860,54.2764100,16.6706400
314,Osowo,270,54.2158707,16.8078072
315,Osowo,50,53.7651028,15.6383341
316,Osówko,122,53.8986261,16.0905832
317,Osieki,444,54.2844350,16.2163213
318,Osieki,136,54.2720564,16.9220867
319,Orzeszkowo,30,53.8548125,15.5182252
320,Okunino,84,54.0663400,16.9508300
321,Objezierze,225,54.2995000,17.0658500
322,Objazda,905,54.6061069,17.0433620
323,Nowielice,385,54.0766031,15.2580498
324,Nowe Łozice,50,53.9163929,16.5259943
325,Nowe Bielice,390,54.1579700,16.1015500
326,Noskowo,500,54.3895300,16.8147500
327,Nosibądy,300,53.8919762,16.3608874
328,Nosalin,184,54.4312500,16.7726500
329,Niestkowo,163,54.5381500,16.9381300
330,Niemierzyno,154,53.8042500,15.8274400
331,Niemica,360,54.2754306,16.4772209
332,Niemica,230,53.8632700,14.9089348
333,Nielep,360,53.8383700,15.8455500
334,Niekłonice,361,54.1592700,16.1461900
335,Niekładź,107,53.9318184,15.1914029
336,Niedalino,500,54.0670760,16.1647728
337,Niechorze,904,54.0953653,15.0819989
338,Niczonów,71,54.0162630,15.0034120
339,Nawino,142,53.9218933,15.9814719
340,Natolewice,300,53.9047436,15.3716769
341,Nasutowo,348,53.9795107,15.8629071
342,Nadziejewo,183,53.6831177,17.0050915
343,Naćmierz,363,54.5085979,16.5644781
344,Nacław,560,54.1421700,16.5262000
345,Mzdowo,105,54.1657700,16.7766400
346,Mzdówko,63,54.1515300,16.7799900
347,Myślino,150,54.0292000,15.6970300
348,Mścice,1400,54.2185923,16.0970023
349,Mrzeżyno,1727,54.1434970,15.2905507
350,Możdżanowo,220,54.5010876,16.7780617
351,Mołtowo,158,54.0546620,15.6847901
352,Mołstowo,120,53.9885700,15.3487900
353,Mołdawinek,14,53.6911700,15.3363000
354,Mołdawin,40,53.7078000,15.3347400
355,Modła,41,54.5505164,16.8021853
356,Mirosławice,310,54.0435602,15.2819538
357,Miłocice,412,53.9562600,16.9343500
358,Mierzyn,272,54.1115413,15.8846057
359,Mielno,187,54.3020700,17.1108200
360,Mielno,2799,54.2560766,16.0520587
361,Mielenko,183,54.2499411,16.0183846
362,Międzyrzecze,90,53.8682500,15.5678800
363,Międzybórz,391,53.7767900,17.0005700
364,Miastko,10439,54.0001478,16.9774717
365,Mianowice,310,54.4614822,17.2081774
366,Masłowice,165,54.4721000,16.6134300
367,Marszewo,216,54.5109900,16.6989200
368,Manowo,760,54.1259723,16.2991966
369,Malonowo,142,54.0075643,15.7950459
370,Maliniec,150,53.7060100,15.3599400
371,Malęcino,79,54.0457000,16.8605800
372,Malechowo,589,54.3070900,16.5136100
373,Machowino,500,54.5501551,17.0004538
374,Machowinko,280,54.5977633,17.0071813
375,Lulewice,205,54.0469161,15.9523678
376,Lulemino,106,54.3496700,17.0012600
377,Łukęcin,130,54.0430193,14.8732835
378,Lubuczewo,466,54.5361594,17.0731406
379,Lubogoszcz,360,53.8168152,16.4662373
380,Łubno,186,54.1549416,17.2283302
381,Lubiechowo,253,54.0648420,15.8392212
382,Łoźnica,1542,53.6951767,14.8774131
383,Łozice,40,53.9116104,16.5931924
384,Łopienica,120,54.2125873,15.8218277
385,Łopianów,68,53.8747600,15.2593700
386,Łobżany,80,53.6674900,15.6256800
387,Lipie,150,53.8327500,15.9388400
388,Lipce,100,53.7346951,15.6744360
389,Lewice,203,54.0229100,15.3215900
390,Łętowo,292,54.2829680,16.8124221
391,Leszczyn,260,53.9612873,15.5779680
392,Lękwica,60,54.5760400,17.1410800
393,Łeknica,470,53.7552354,16.3045366
394,Łękinia,197,53.9037700,17.0193700
395,Lejkowo,180,54.2473100,16.5868200
396,Lędzin,154,54.0691317,15.0752254
397,Lędowo,43,54.5610991,16.8153961
398,Łęczno,279,53.9674400,15.9510100
399,Łatno,45,53.9835500,15.3733500
400,Laski Koszalińskie,260,54.1407900,16.0835200
401,Laski,157,53.9464099,15.9218472
402,Łagiewniki,160,53.7427761,15.4974450
403,Łącko,231,54.5196449,16.6094445
404,Kwisno,48,54.0804100,17.1173400
405,Kwasowo,519,54.3248600,16.6899500
406,Kwakowo,576,54.3686677,17.0231171
407,Kusice,340,54.2508300,16.4761000
408,Kurozwęcz,134,54.0548300,16.2727300
409,Kurowo,380,54.0372369,16.5786425
410,Kukowo,212,54.5407700,17.1715900
411,Kukinia,240,54.1668867,15.7592586
412,Krzywań,170,54.4129600,17.1542500
413,Krzynia,44,54.3463306,17.2079812
414,Krzemienica,159,54.4899632,16.8223701
415,Krytno,180,54.1744600,16.5371000
416,Krupy,361,54.4241700,16.5148100
417,Krukowo,237,54.0237200,15.7849100
418,Krosino,508,53.8115410,15.7624904
419,Krosino,40,53.7580053,15.5812931
420,Krosinko,98,53.9082200,16.2449700
421,Królewo,706,54.5145113,16.6551404
422,Krępsk,192,53.7030200,17.2253200
423,Krępa,230,54.0229898,16.3577286
424,Kramarzyny,586,54.0586100,17.2411500
425,Krąg,201,54.2122900,16.7021800
426,Kozia Góra,187,54.0150774,15.8222808
427,Kowanowo,40,53.8000000,15.6000000
428,Kowańcz,185,54.0362072,15.8392981
429,Kowalki,195,53.9232847,16.3614317
430,Kowalewice,184,54.4416287,16.5610802
431,Kotłowo,170,54.1408000,16.0641600
432,Koszalin,104648,54.1909200,16.1770700
433,Kosierzewo,270,54.2954200,16.6872900
434,Kościernica,284,54.1622575,16.4482588
435,Kościernica,346,54.0475000,16.0171500
436,Korzybie,919,54.2989363,16.8751249
437,Kopnica,120,54.4579400,16.4880300
438,Kopań,132,54.4594000,16.4340400
439,Konikowo,626,54.1518100,16.1797200
440,Konarzewo,136,54.0743140,15.1315480
441,Komnino,70,54.6091763,17.1224416
442,Kołczygłowy,1188,54.2389319,17.2277117
443,Kołczygłówki,309,54.2312103,17.1990819
444,Koczała,2111,53.9021400,17.0663600
445,Kobylnica,2248,54.4486075,16.9812893
446,Kluczkowo,214,53.7452000,15.8664900
447,Kłos,220,54.2190560,16.2794415
448,Kłopotowo,200,54.0934304,15.7939733
449,Kłodzino,140,53.8712361,15.8305972
450,Kłodzino,160,53.7905523,14.9580254
451,Kłodkowo,260,54.0125600,15.2448600
452,Klępnica,80,53.7288782,15.6413476
453,Klępczewo,850,53.7864185,15.7065128
454,Kłanino,470,54.0303534,16.4632984
455,Kikowo,215,53.8841893,16.2773996
456,Kiełpino,261,53.9364300,15.4072100
457,Kępice,3802,54.2427792,16.8896705
458,Kędzierzyn,80,54.2293614,16.2284154
459,Kazimierz,60,53.8612404,16.7517845
460,Kawcze,239,54.0723900,16.8826800
461,Karzniczka,394,54.4872442,17.2335636
462,Karzcino,210,54.5540134,17.0698983
463,Karwice,410,54.3305700,16.5625800
464,Karsino,103,54.4700000,16.5623600
465,Karsinka,30,54.0870825,16.5190309
466,Karścino,372,54.0543743,15.7936426
467,Karnieszewice,300,54.2587300,16.3497200
468,Karnice,668,54.0305255,15.0545309
469,Kamosowo,98,53.9815046,15.8949541
470,Kamnica,373,54.0165100,16.8932000
471,Kamionka,10,53.8638600,16.3963200
472,Kamień Rymański,50,53.9211100,15.5326700
473,Kalina,30,53.9301950,15.6376960
474,Jeżyczki,330,54.3391500,16.3962400
475,Jeżyce,276,54.3564905,16.3977325
476,Jezierzyce,349,54.4984302,17.1088062
477,Jezierzyce,290,53.8147824,15.9774658
478,Jasiel,101,53.8358800,15.0869300
479,Jarosławiec,329,54.5392483,16.5421032
480,Jarchlino,250,53.6795472,15.2193815
481,Janiewice,529,54.2719400,16.7669400
482,Jacinki,221,54.1315160,16.6234047
483,Iwin,253,53.7954837,16.5168702
484,Gwieździn,375,53.7380400,17.1918000
485,Gwiazdowo,340,54.3073480,16.7498758
486,Gwda Wielka,570,53.7359800,16.7996000
487,Gumieniec,206,54.2588100,17.0445600
488,Grzybnica,190,54.0445400,16.4437900
489,Grzmiąca,1375,53.8345203,16.4323611
490,Grąsino,522,54.4999433,17.1499723
491,Grabno,168,54.5623429,16.8945747
492,Gostyniec,165,53.9944100,14.9704200
493,Gostyń,660,54.0286600,14.9481000
494,Gosław,308,54.0538900,15.4034800
495,Gościnko,141,53.9914167,15.7414120
496,Gorzysław,123,54.0916376,15.2987124
497,Gorzyca,230,54.3056800,16.4794900
498,Górzyca,234,53.9780100,15.2372381
499,Gorawino,720,53.9973715,15.4926796
500,Gołogóra,120,54.0056037,16.7432824
501,Golica,130,54.0896300,16.1284300
502,Gołańcz Pomorska,446,54.0637864,15.3831800
503,Gockowo,111,53.7213400,17.0615500
504,Głowaczewo,90,54.1322556,15.4369515
505,Głobino,448,54.4394479,17.1057992
506,Gleźnowo,198,54.3327577,16.3129438
507,Giezkowo,250,54.1362200,16.1163900
508,Gawroniec,490,53.6744300,16.0176400
509,Gatka,37,54.0407200,16.8847900
510,Gardna Wielka,803,54.6377770,17.1695369
511,Garbno,200,54.1091300,16.5385700
512,Gać,149,54.4616464,16.8514994
513,Gąbino,380,54.5954386,17.0973166
514,Gąbin,185,54.0270300,15.2723300
515,Dźwirzyno,580,54.1568464,15.4025965
516,Dźwierzno,14,53.9518000,17.0320700
517,Dzisna,100,53.6844308,14.8440422
518,Dyminek,80,53.7767623,16.8756590
519,Dygowo,1549,54.1318410,15.7207855
520,Dunowo,411,54.1097161,16.1077967
521,Duninowo,630,54.5400295,16.8217565
522,Drzonowo Białogardzkie,164,53.8989100,16.3151100
523,Drzonowo,190,53.8133174,16.8485990
524,Dreżewo,99,54.0464846,14.9889946
525,Drzewiany,340,53.9922496,16.6880845
526,Drzeńsko,40,54.2368800,16.6444600
527,Drozdowo,77,54.0628050,15.1238130
528,Drozdowo,550,53.9941811,15.5463634
529,Dretyń,1123,54.1042695,16.9831082
530,Dominek,120,54.5839000,17.1055400
531,Domasławice,450,54.3903900,16.4355100
532,Domacyno,163,53.9716740,15.7570057
533,Dobrzyca,800,54.1845700,15.9234700
534,Dobrowo,721,53.9892582,16.1200473
535,Doble,76,53.8567491,16.2425544
536,Dobiesław,379,54.3146000,16.3582100
537,Dębnica Kaszubska,3220,54.3761946,17.1613404
538,Dębina,112,54.6363878,17.0198440
539,Dębica,210,53.9697125,15.5922059
540,Daszewo,284,54.0797682,15.8803264
541,Darżkowo,89,54.2756800,17.1779000
542,Darżewo,135,54.0128200,15.3531400
543,Darłowo,14229,54.4224900,16.4093300
544,Dargosław,333,54.0011757,15.3836494
545,Dargiń,210,54.0144200,16.3981100
546,Dargikowo,149,54.0157761,16.0632151
547,Dadzewo,190,54.1282651,16.5846313
548,Dąbki,265,54.3793600,16.3144000
549,Czysta,163,54.6172414,17.1375193
550,Czernin,320,54.1376895,15.6727833
551,Czarnowęsy,325,53.9365786,16.0033972
552,Czarnkowo,81,53.9201900,16.3381900
553,Czarne,6089,53.6835300,16.9422100
554,Czaplin Wielki,96,54.0196805,15.1543959
555,Czaplin Mały,74,54.0383030,15.1524470
556,Czaple,53,54.0253900,16.2458100
557,Cybulino,250,54.0294102,16.5963099
558,Cisowo,320,54.4469750,16.4338010
559,Cieszyn,90,54.1716500,16.0525300
560,Cieszeniewo,220,53.7576500,15.9150500
561,Ciesław,241,53.9185797,15.0080660
562,Cieminko,54,53.6646870,16.0534847
563,Ciecholub,161,54.1748714,16.8802157
564,Chudaczewo,240,54.4774200,16.6500800
565,Chomętowo,254,54.0366500,15.1766000
566,Choćmirowo,41,54.6001208,17.2382529
567,Chłopy,223,54.2509953,15.9833983
568,Cetyń,373,54.2239308,17.1524130
569,Cetuń,230,54.0898200,16.5919200
570,Cerkwica,1083,54.0088745,15.1083300
571,Byszyno,204,53.9485042,16.0476641
572,Buszyno,127,54.2026000,16.7123900
573,Bukowo Morskie,425,54.3545968,16.3352461
574,Bukowo,320,54.1738724,16.5902907
575,Bukówko,294,53.9868500,16.1952200
576,Buk,33,53.7689313,14.9524542
577,Buczek,261,54.0394900,16.1064500
578,Brzozowo,125,53.9938500,17.1967400
